Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.19	sa2Fcg1	a estos tales llama los han asos que quiere dezir fuegos e fornos por que estos tałs	Philosophus vero vocat eos chaunos idest ignes et fornaces , quia tales sicut fornax omnia consumunt . Quidam vero in magnis operibus faciunt decentes sumptus :	nx6pBtm
1.2.21	omd7C62	mas pariufico que quiere dezir de pequena fazienda . Et por ende dize el philosofo .	non est magnificus , sed paruificus . Ideo dicitur 4 Ethic’	tZkuZYe
1.2.22	ujwOnpB	Et estos son dichos magnanimos que quiere dezir omes de grand coraçon ca nos ueemos algunos que dessi son aptos e apareiados	ut magnanimi . Videmus enim aliquos de se aptos ad magna , potentes magna et ardua exercere :	z0MN3Xv
1.2.22	iAv9v7N	Et estos tałs ̃ llama el philosofo caymos que quiere dezir fumosos e ventosos mas nos podemos los llamar prasunptuosos		
1.2.26	kE0IS2R	e alabadores de ssi que quiere dezir alabadores que se alaban	iactatores et superbos appellat : quia ultra quam eorum status requireret , vilius induebantur :	wB6iW2X
1.2.28	aecU1H5	assi commo deuemos somos amigables e afabiles que quiere dezir amigos bien fablantes . Pues que assi es non es otra cosa amistanȩ	et recipiendo ipsos ut debemus , sumus amicabiles , et affabiles . Nihil est ergo aliud amicabilitas ,	vdwQrEz
1.2.28	obNf4k4	Et otrosi alegera conuenible la qual el philosofo llama heutropeliam que quiere dezir buena conpanina . Et pues que assi es	quae apertio nuncupatur : et debita iocunditas , quam eutrapeliam vocat . Communicando igitur cum aliis , si bene conuersari volumus ,	kkpHsHB
1.2.29	i9KADtP	Et estos llama el philosofo yrones que quiere dezir escarnidores e despreçiadores dessi mismos .	quos Philosophus vocat irones , idest irrisores , et despectores . Oportet ergo dare aliquam virtutem mediam , per quam moderentur diminuta ,	lIcrmZU
1.2.32	s4QC54V	es llamada del philosofo eroyca que quiere dezir prinçipante e sennor ante por que es señora delas otras uirtudes ¶	a Philosopho heroica idest principans , et dominatiuat . Ex hoc ergo manifeste patet ,	zQOmNBX
1.3.1	qvsVRSb	Mas el appetito senssitiuo del seso assi commo mas largamente dixiemos de suso partese en apetito iraçibile que quiere dezir enssannador e concupiçible que quiere dezir desseador .	in appetitu sensitiuo . Sensitiuus autem appetitus ( ut supra diffusius diximus ) diuiditur in irascibilem , et concupiscibilem .	h1Sw50w
1.3.1	sYBqTgE	que quiere dezir enssannador e concupiçible que quiere dezir desseador . Et por ende las sobredichas passiones	( ut supra diffusius diximus ) diuiditur in irascibilem , et concupiscibilem . Praedictae ergo passiones sic distinguuntur ,	h7kKdyg
1.3.10	rZJTLkc	gera Njemesim que quiere dezir tanto commo indignacion dela buena andança de los malos . Misericordia e jnuidia .	videlicet , zelum , gratiam , nemesin ( quod idem est quod indignatio de prosperitatibus malorum ) misericordiam , inuidiam , et erubescentiam siue verecundia . Sed omnes hae passiones reducuntur ad aliquas passiones praedictarum :	oz3QwX8
1.3.10	xKte7oc	e es dicha uerguença o herubesçençia que quiere dezir en bermegecimiento . Et pues que assi es la uergunença es temor espeçial	et dicitur verecundia , vel erubescentia . Verecundia ergo est quidam timor ,	vycNzm1
1.3.10	j1yfDP7	assi es dicha enemessis o indignaçion que quiere dezir desden . Ca segunt el philosofo en el segundo libro dela rectorica . Nemessis o indignaçiones auer tristeza de aquel	vel indignatio . Nam ( secundum Philosophum 2 Rhetoricorum ) nemesis vel indignatio , est tristari de eo qui indigne videtur bene prosperari .	hCdnL9n
2.1.3	y2A8IjO	assi commo alinconicos nico que quiere dezir ordenador de casa de deter minar de los heditiçios delas calas por que ael parte nesçe generalmente demostrar	spectat enim ad moralem Philosophum , ut ad oeconomicum , determinare de aedificiis domorum : | ut ad oeconomicum , determinare de aedificiis domorum : quia spectat ad ipsum uniuersaliter et typo ostendere ,	dJ5iFQ8, j2FpS3e
2.1.3	gQW0HTW	ala ca la que es comuidat delas perssonas assy commo parte nesçe al politico que quiere dezir ordenador de çibdat de tractar de la orden delas casas	prout habet ordinem ad domum , quae est communitas personarum ; sicut spectat ad Politicum determinare de ordine domorum , et de constructione vici ,	iD4GwQL
2.1.4	uSE7EpV	segunt natura construyda e fecha para cada dia que quiere dezir para las obras	quod domus est communitas secundum naturam , constituta quidem in omnem diem .	k66hwGj
2.1.7	xZ7G8Wx	que el omne es naturalmente aina l aconpannable e comun incatiuo que quiere dezir ꝑtiçipante con otro Mas la comunidat en la uida humanal	hominem esse naturaliter animal sociale et communicatiuum . Communitas autem in vita humana ( ut supra tangebatur )	eSibvdX
3.2.2	kiWFA8A	e los que deuen gouernar el pueblo son dich sobtimates que quiere dezir muy buenos ca muy buenos deuen ser aquellos que dessean ser mayores que los otros .	et qui debent populum regere vocati sunt optimates , quia optimi debent esse qui aliis praeesse desiderant .	nagAYuI
3.2.2	rM2dRfY	tal es dich obligartia que quiere dezir prançipado de ricos . Et pues que assi es dos prinçipados se leuna	et opprimentes alios intendunt proprium lucrum huiusmodi principatus Oligarchia dicitur , quod idem est quod principatus diuitum . Consurgit igitur duplex principatus ex dominio paucorum :	jvzHAPP
3.3.12	ntcdMXc	e desende que establezcan vn triangulo que quiere dezir forma de tres linnas e esto se faz ligeramente .		
3.3.16	pC1TLN8	Enpero diremos de la batalla osse ssiua e que quiere dezir batalla de cercamiento . Et por ende uisto quantas son las maneras de las batallas .	non oportet circa alia bellorum genera diutius immorari . Primo tamen dicemus de bello obsessiuo . Viso ergo quot sunt bellorum genera ,	e0SqWGV
