Localisation	Id. source	Segment source	Segment cible	Id. cible
1.2.7	b3Yb9em	Triplici ergo via inuestigare possumus , <b> quod decet Regem esse prudentem . Primo , quia sine prudentia non est </b> Rex	Et pues que assi es podemos prouar en tres maneras <b> que conuiene al rey de seer sabio ¶ | La primera es que sin la pradençia non puede seer Rey segunt </b> uerdatmas solamente lo serie segunt el nonbre	vT3vMbI, sdNC8gM
1.2.8	iFT9XMe	quia nulli agenti hoc est possibile , <b> sed decet Regem habere praeteritorum memoriam , </b> ut possit ex praeteritis cognoscere ,	Ca esto ninguno non lo pie de fazer . <b> Mas conuiene al Rey de auer memoria delans cosas passadas | por que pue da </b> por las cosas passadas conosçer e tomar	bzb6WYh, uPoGU8r
1.2.8	qwQdiEJ	nec inniti semper solertiae propriae : <b> sed oportet ipsum esse docilem , </b> ut sit habilis ad capescendam doctrinam aliorum ,	nin atener se sienpre al su engennio propio . <b> Mas conuiene le de ser doctrinable | por que sea ido neo </b> para tomar doctrina de los otros tom̃ado conseio de buenos	sLsYDYR, nFHGpUn
1.2.8	yOt6WXy	Sed ratione gentis quam dirigit , <b> oportet ipsum esse expertum , </b> et cautum .	e del pueblo <b> a que ha de gouernar . | Conuiene al Rey </b> que sea j muy prouado et muy aꝑçebido	kLA9N4S, gRfu8pH
1.2.8	leRnZQC	ut possit eam melius in debitum finem dirigere . <b> Ultimo oportet ipsum esse cautum . </b> Nam sicut in speculabilibus falsa aliquando admiscentur veris ,	e traher los ala fin que deue¶ <b> Lo postrimero conuiene al Rey | que sea muy aꝑçebido . </b> Ca assi commo en las sçiençias especulatuias algunas cosas falsas	pLQ6w1H, uVj3lID
1.2.8	cB8Epxa	sed apparent bona . <b> Oportet igitur Regem esse cautum , </b> respuendo apparenter bona ,	maguera que lo non sean . <b> commo quier que paresçan buenas Et pues que assi es conuiene al Rey sea aꝑcebido </b> para desechar e despreçiar aquellas cosas	yHUMG9X
1.2.9	cnxr6oe	quae superius diximus , <b> oportet ipsos esse bonos , </b> et non habere voluntatem deprauatam :	que dixiemos de suso <b> conuieneles | que sean buenos </b> e que non ayan uoluntad mala nin desordenada	wCQET5A, qLNc0GA
1.2.12	u1azUm1	quae est quaedam clarissima virtus , probari potest , <b> quod decet eos obseruare Iustitiam . </b> Tertio hoc probari potest	que se puede prouar <b> que conuiene alos Reyes | de guardar la iustiçia . </b> lo terçero esso mismo se puede prouar	l1ZQFPn, fKkSCBu
1.2.12	ywB6Umt	quam ex aliis virtutibus moralibus . <b> Decet ergo Reges et Principes esse iustos , </b> tum quia debent esse regula agendorum ,	que a ninguno de los otros . <b> Et pues que assi es conuiene alos Reyes | e alos prinçipes de ser iustolo vno </b> por que deue ser regla de todas las cosas	ztdo8RX, obZ5atk
1.2.13	qI3B4Cc	et non recte , <b> oportet dare virtutem aliquam </b> circa timores , et audacias .	e en las osadias <b> por la qual sea el omne reglado en ellos . | por que contesce que algunos remen algunas cosas </b> que han de temer e alas uegadas temen alguas cosas	dzNpgl9, ymiRSfH
1.2.15	ce30lLe	Nam si volumus nutrimentales delectationes reprimere , <b> oportet nos temperari a potu , et cibo . </b> Temperando nos a potu ,	delectaçonnes nutermentales <b> con que se cera el cuerpo . | Conuiene nos que seamos tenprados en comer e en beuer </b> ca tenprando nos en el beuer seremos mesurados	mzxQEum, vHS33Fw
1.2.18	lEJYM9D	quae continet . <b> Cum ergo tanto deceat fontem habere os largius , </b> quanto ex eo plures participare debent :	Ca ha . manera daua so ancho e largo e da conplidamente lo que tiene <b> ¶pues que assi es conmo tanto conuenga ala fuente auer la boca | mas ancha </b> quanto della deuen	caOipdP, skSoeR2
1.2.23	wKIaWCd	ideo decet magnanimum esse paucorum operatiuum . <b> Quarto decet magnanimum esse apertum , </b> ut sit veridicus ,	Et por ende conuiene al magnanimo ser de pocas obras ¶ <b> La quarta propiedat es que conuiene al maguanimo ser magnifiesto </b> assi que sea uerdadero	qfRxNJm
1.2.23	oXwlylP	habere decet Reges , et Principes . <b> Decet enim Reges se non exponere </b> pro quibuscunque periculis ,	e alos prinçipes delas auer <b> Por que conuiene alos Reyes non se poner </b> a quales se quier periglos	jj4QR5N
1.2.23	dLuTWeu	ubi agetur de regimine Regni , <b> non decet eos esse plangitiuos , </b> vel deprecatiuos pro exterioribus bonis .	o determinaremos del gouernamiento del regno <b> que non conuiene alos Reyes de seer lloradores nin rogadores </b> por los bienes de fuera .	hzatf2b
1.2.24	t4Mz1gL	bene dictum est , <b> quod decet eos esse magnanimos , </b> et honoris amatiuos .	Bien dicho es <b> que a ellos pertenesce seer magnanimos </b> e amadores de honrra	cWBT2Ah
1.2.25	tPFMHsO	si unum et idem aliter et aliter acceptum nos retrahit et impellit , <b> oportebit circa illud dare duas virtutes , </b> unam impellentem ,	e nos allega a aquello que la razon manda o uieda . <b> Conuiene de dar en aquella cosa dos uirtudes ¶ La vna que nos allegue . </b> Et la otra qua nos arriedre dello .	arbKvQA
1.2.27	krXlDbz	mansuetudo nominat temperamentum irae . <b> Quod autem deceat Reges et Principes esse mansuetos , </b> ostendere non est difficile .	La manssedunbre nonbra tenpramiento de sana . <b> mas mostrar que conuiene alos Reyes | e alos prinçipes de ser manssos </b> esto non es cosa guaue mas ligera .	ozEK1xH, gNjw6Bj
1.2.27	htfa3hM	virtuosus non esset . <b> Tanto ergo magis decet Reges et Principes moueri </b> ad punitionem faciendam ,	non seria uirtuoso . <b> Et pues que assi es tanto | mas conuiene alos Reyes </b> e alos prinçipes de se mouer a dar penas .	jBtQynT, oeP3bru
1.2.29	rePwcgY	idest irrisores , et despectores . <b> Oportet ergo dare aliquam virtutem mediam , </b> per quam moderentur diminuta ,	que quiere dezir escarnidores e despreçiadores dessi mismos . <b> Et pues que assi es conuiene de dar alguna uirtud medianera </b> por la qual sean tenpradas las cosas menguadas	ivbDXX6
1.2.31	rd2hYMU	in hanc sententiam conuenerunt , <b> quod oportet virtutes connexas esse . </b> Dixerunt enim	commo los p̃h̃osacuerdan en esta sentençia <b> que conuiene que todas las uirtudes sean ayinntadas la vna con la vna con la otra . </b> Ca dixieron que aquel que ha vna uirtud	r3QLoYm
1.2.33	h8aepCB	et Principes alios excellere debent , <b> tanto ardentius decet eos diuinam gratiam postulare . </b> In hoc ergo eliditur Philosophorum elatio ,	e los prinçipes deuen sobrepular los otros en bondat tanto mas cobdiçiosamente <b> e con mayor desseo deuen demandar la gera de dios . | ¶ Et pues que assi es por esto se puede tirar </b> e quebrantar el orgullo	h8J947w, ofQ7IbS
1.3.3	hALrOoq	ad Rempublicam fecit Romam esse principantem et monarcham . <b> Hoc ergo modo quoslibet homines decet esse amatiuos , </b> ut primo et principaliter diligant	e auer sennorio en todo el mundo . <b> Pues que assi es que esto conuiene a todos los omes de ser amadores </b> assi que primero e prinçipalmente amen el bien diuinal	a9T4Op1
1.3.5	v3kGL9B	Possumus autem quadrupliciter ostendere , <b> quod deces Reges et Principes decenter se habere circa spem , </b> et sperare speranda ,	Mas nos podemos mostrar en quatro maneras <b> que conuiene alos Reyes | e alos prinçipes de se auer </b> conueniblemente cerca la esperança	np7ax2d, gXMjlBm
1.3.5	sJW3q0n	propter quae arguere possumus , <b> quod decet Reges et Principes esse bene sperantes . </b> Spes enim primo est de bono :	por las quales podemos mostrar <b> que conuiene alos Reyes e alos prinçipes de ser bien esperantes ¶ </b> Lo primero que la espança es de algun bien	qGpV0gQ
1.3.5	nmGmBpo	Possumus autem duplici via inuestigare , <b> quod decet Reges et Principes aliquid aggredi ultra vires , </b> et sperare ultra quam sit sperandum .	por dos maneras <b> que non conuiene alos Reyes | e alos prinçipes de acometer ninguna cosa </b> mas que la fuerca suya	sB0TAGe, pK1nDj4
1.3.6	jrWLWKK	non est fortis , sed satuus . <b> Oportet ergo videre </b> quo modo eos esse deceat timidos , et audaces .	en el primero libͤ de los grandes morales . <b> Et pues que assi es conuiene deuer </b> en qual manera conuiene alos Reyes de sertemosos	qoHCUA1
1.3.7	aOMWz6U	a Regibus , et Princibus , <b> quia eos maxime decet sequi imperium rationis . </b> Cauenda est ergo ira inordinata ,	e alos prinçipes <b> por que mucho mas conuiene aellos | de segnir el iuyzio dela razon e del entendimiento . </b> Et pues que assi es paresçe	kHlAcG8, nvxCEy9
1.3.11	h308k15	imitari debent . <b> Decet enim eos esse gratiosos , et misericordes . </b> Ipsi enim maxime esse debent	en quanto son passiones de loar <b> Por que conuiene a ellos de ser guaçiosos e mis cordiosos . </b> Ca ellos deuen ser muy conuenibles partidores de los bienes	so1k44N
1.3.11	c1CFEyC	quia non existimamus <b> ipsum oportere operari , </b> in quibus est verecundia .	Ca non cuydamos <b> que conuenga aellos de obrar ninguna cosa </b> en que caya uerguença .	hI0ROdn
1.4.1	hAiMLI4	quin committant aliqua turpia , <b> de quibus decet eos uerecundari : </b> Reges tamen et Principes ,	que non acometan algunas cosas torpes <b> delas quales les conuiene | que tomne uerguença . </b> Enpero esto non es de loar en los uieios nin en los Reyes .	jF8Fbfl, k9fF6KT
1.4.1	nUuex8O	adaptare possumus Regibus et Principibus : <b> quia decet eos esse liberales , </b> bonae spei ,	e alos prinçipes <b> por que conuiene aellos de ser liberales </b> e de buena esperança .	au3lsdW
1.4.1	wACWyHc	maxime magnanimitas competit Regibus et Principibus , <b> quia eos maxime magna decet operari , </b> et in ardua tendere .	e alos prinçipes la magernimidat <b> que alos otros | por que mucho conuiene a ellos de obrar grandes cosas </b> e entender cerca las cosas altas	uIy1XbH, c5xmvsz
1.4.2	lUHnCaW	ergo quia aliorum debent esse regula et mensura , <b> potissime eos decet moderatos esse . </b> Enumeratis moribus iuuenum ,	Et pues que assi es que los Reyes deuen ser regla <b> e mesura de todos los otros mucho les conuiene aellos de ser mas mesurados que los otros . </b> ontadas las costunbres de los mançebos	zWPbHvX
1.4.5	pvc2Aa1	subtiliter inuestigantes <b> quid decet eos facere , </b> ne opera eorum ,	e escodrinnadores sotilmente de todo aquello <b> que les conuiene de fazer </b> por que las sus obras	hs5AqkV
1.4.7	cwX7FGq	Potentes vero et principantes , <b> quia oportet eos intendere exterioribus curis , </b> retrahuntur ,	Mas los poderosos et los prinçipes <b> por que les conuiene de entender | e auer cuydados de muchͣs cosas retrahen se </b> e tiran se	lg50Xtm, yTrW7Ug
1.4.7	yizC3vY	aliquos malos mores : <b> quia non oportet omnes esse tales , </b> sed sufficit reperiri illud in pluribus :	li dellos contamos algunas malas costunbres <b> ca non conuiene que todos seantales . </b> Mas abasta que aquellas costunbres sean falladas en muchos por que non	uDu6PKE
2.1.2	juMZtcg	ad per se sufficientiam vitae , <b> oportet communitatem domus necessariam esse . </b> Reges ergo et Principes ,	e por si vale a conplimiento dela uida . <b> Conuiene que la comunidat dela casa sea mas neçessaria </b> Et pues que assi es los Reyes e los prinçipes	euM1PQj
2.1.3	mxeKIYS	et typo ostendere , <b> quod decet homines habere habitationes decentes </b> secundum suam possibilem facultatem ;	por que ael parte nesçe generalmente demostrar <b> por figera e por exienplo que conuiene alos omes de auer conueibles moradas </b> segunt el su poder e la su riqueza .	eE3KP2G
2.1.5	j9YeDbP	et serui ad conseruationem . Quare si generatio et conseruatio est quid naturale , <b> oportet domum quid naturale esse . </b> Amplius , quia generatio et conseruatio	conseruaçique por la qual cosa si la generaçion e la conseruaçion es cosa natural <b> conuiene | que la casa sea cosa natural ¶ </b> Otrossi por que la generaçion e la conseruaçion non pueden ser apartadas la vna dela otra	b1cP25g, imDuwLp
2.1.6	jgujmao	potest sibi simile producere , <b> sed oportet prius ipsam esse perfectam . </b> statim enim ,	luego que es fecha fazer otra semeiante <b> assi mas conuiene que ella primeramente sea acabada </b> enssi	b0yZ5DK
2.1.6	jChMCJb	nec statim potest sibi simile producere , <b> sed oportet prius ipsum esse perfectum : </b> producere ergo sibi similem ,	luego otro su semeinante <b> mas conuiene que primeramente el sea acabado . </b> Et pues que assi es engendrar su semeiante non pertenesçe a cosa natural tomada en qual quier manera mas pertenesçe a cosa natural en quanto ella es acabada .	lakYQr4
2.1.6	csbFq1I	Patet ergo quod ad hoc quod domus habeat esse perfectum , <b> oportet ibi esse tres communitates : </b> unam viri et uxoris , aliam domini et serui ,	Et por ende paresçe que para que la casa sea acabada <b> que conuiene que sean enlla tres comuundades . </b> ¶ La vna del uaron e dela muger ¶	kITR8xJ
2.1.6	teVZt9b	Nam cum in domo perfecta sint tria regimina , <b> oportet hunc librum tres habere partes ; </b> in quarum prima tractetur primo de regimine coniugali :	Ca commo en la casa acabada sean tres gouernamientos . <b> Ca conuiene que este libro sea partido en tres partes . </b> ¶ En la primera delas quales tractaremos del gouernamiento mater moianl .	arl82RD
2.1.7	jC1MkMH	tanto magis decet fugere Reges et Principes , <b> quanto decet eos meliores et virtuosiores esse . </b> His visis ,	mas conuiene alos Reyes <b> e alos prinçipes delo esquiuar quanto mas conuiene aellos de ser meiores | e mas uirtuosos que los otros . </b> ¶ Estas cosas dichͣs	cuI8P81, guMIt8t
2.1.8	tGhESLC	Probant autem Philosophi , <b> quod decet coniugia indiuisibilia esse . </b> Ad quod ostendendum adducere possumus duas vias ,	os philosofos prue una que los con̊uiene <b> que los casamientos sean sin departimiento ninguno </b> e que non le puedan partir .	ck7REXF
2.1.8	suXc4vI	et inrepudiatum . <b> Decet ergo omnes ciues coniungi </b> suis uxoribus indiuisibiliter absque repudiatione ,	por la qual el casamiento non deue ser partido nin repoyado . <b> Et pues que assy es conuiene a todos los çibdadanos de se ayuntar | asus muger </b> ssin departimiento ninguno	atI729y, aD8LFjS
2.1.9	svlL02G	Et tanto magis hoc decet Reges et Principes , <b> quanto decet eos meliores esse aliis , </b> et magis sequi ordinem naturalem .	e alos prinçipes de segnir mas orden natural <b> quanto mas conuiene aellos de ser meiores | que todos los otros . </b> Et pues que assi es paresçe	bG05zcW, kIPMW6u
2.1.10	s30QYly	ut si quis subiicitur Proposito et Regi , <b> oportet Propositum illum ad Regem ordinari , </b> et esse sub ipso repugnat	assi commo si algun çibdadano es subiecto al preuoste e al Rey . <b> Conuiene que el | prinoste sea ordenado al Rey e sea so el . </b> Et por ende contradize ala orden natural	cUKNf3U, hjr7oB4
2.1.10	miJOcIZ	simul viris pluribus detestabilius esse debet . <b> Decet ergo coniuges omnium ciuium uno viro esse contentas : </b> multo magis tamen hoc decet	que vna muger case en vno con mugons varones . <b> ¶ Et pues que assi es conuiene | quelas mugers de todos los çibdadanos sean pagadas de vn uaron . </b> Enpero mucho mas conuiene esto alas mugers de los Reyes	bQDQexR, bmHkGlK
2.1.11	zhARpiL	tanta multiplicaretur dilectio , <b> quod oporteret eos nimium vacare venereis . </b> Decet ergo omnes ciues non inire connubia	tanto se acrescentarie el amor entre ellos <b> que les conuernie de enteder | e de darse mucho alas obras de lux̉ia . </b> Et pues que assi es conuiene a todos los çibdadanos	hwpZHYM, gohLEUR
2.1.11	nhsv4MS	quod oporteret eos nimium vacare venereis . <b> Decet ergo omnes ciues non inire connubia </b> cum personis nimia consanguinitate coniunctis ;	e de darse mucho alas obras de lux̉ia . <b> Et pues que assi es conuiene a todos los çibdadanos | de non fazer casamientos entre perssonas </b> que son muy ayuntadas en parentesço	aOr7ayW, eSSVzUb
2.1.13	rTiHg4L	quam intemperantia coniugum aliorum . <b> Decet ergo coniuges temperatas esse . </b> Decet eas etiam amare operositatem :	dellos puede fazer mayor danno e enpeçemiento que la destenprança delas mugers de los otros . <b> Et pues que al sy es conuiene | que las muger ssean tenpradas . </b> Et avn les conuiene aellas de amar fazer buenas obras .	ie0ZX1m, pX007nn
2.1.14	tjoL4pf	Patet ergo , <b> quomodo decet omnes ciues alio regimine praeesse uxoribus , </b> et alio filiis :	Et pues que assi es paresçe <b> en qual manera conuiene a todos los çibdadanos | que enssennore en </b> por otro gouernamiento alos mugers	aJ8DKGb, cSuHavO
2.1.15	yLtRCfv	et quicquid natura praeparatur , <b> oportet ordinatissimum esse : </b> quia ille naturam dirigit ,	por la natura <b> conuiene que sea muy ordenado . </b> Ca aquel gnia la natura de que viene todo ordenamiento	rvuHMy7
2.1.16	vOXQ3Ep	et quomodo utendum sit eo . <b> Oportet ergo magis in particulari descendere , </b> qualiter omnes ciues	e en qual manera de una vsar del . <b> Et pues que assi es conuiene de desçender | mas en particular </b> mostrando en qual manera todos los çibdadanos et mayormente los Reyes	hSQ3C6j, j4lzKiZ
2.1.19	z4W7gV2	Nam quicunque vult aliquid bene regere , <b> oportet ipsum speciales habere cautelas ad ea , </b> circa quae videt ipsum magis deficere .	conuiene <b> que el aya algunas cautelas espeçiales | para aquellas cosas </b> en las quales vee	kQbljZv, gW3KnGH
2.1.19	b5qtAcs	in loquela dirigere , <b> oporteret eos instruere , </b> ut specialem pugnam	que qualiesse enderesçar los tartamudos en la fabla conuenir le ha <b> que los ensseñasse que tomassen espeçial batalla </b> e espeçial esfuerço cerca aquellas palauras	gm9LxzQ
2.1.19	jHF6449	vel dissensio oriri . <b> Secundo decet eas esse pudicas </b> et honestas .	e mayor discordia <b> que lo segundo couiene a el de los otros . </b> las de ser linpias e honestas	cMGjJjt
2.1.20	bdBlawn	insurgere nocumentum proli , <b> decet abstinere a tali copula : </b> est ergo obseruandum tempus debitum .	conuiene les de guardar se <b> de allegar se mucho alas mugers . Et pues que assi es conuiene les alos casados </b> de guardar tienpo conuenible	aJVWFEL
2.1.23	g6maG7O	Quia ergo sic est , <b> oportet foeminas deficere a ratione , </b> et habere consilium inualidum .	que las mugers <b> que fallezcan de vso de razon e que ayan el conseio flaço . </b> Ca quando el cuerpo es meior conplissionado tanto	ySx7if5
2.1.23	h2qWQOs	ut quia illud est citius in suo complemento , <b> sic oporteret repentino operari , </b> forte elegibilius esset huiusmodi consilium .	por que el consseio de la muger es mas ayna el su conplimiento que deluats . <b> por que si acaesçiesse de obrar alguna cosa adesora </b> por auentra a seria	y2Y2LY2
2.2.1	yoOctDy	Possumus autem triplici via venari , <b> quod decet huiusmodi solicitudinem habere parentes . </b> Prima via sumitur	Et nos podemos mostrar por tres razones <b> que conuienen a todos los padres | de auer grand cuydado de sus fijos </b> ¶	agfjDfk, maaWOjh
2.2.2	t9g7rMu	solicitari circa eos . <b> Licet omnes patres deceat solicitari </b> circa proprios filios ,	que han alos fijos sean cuy dadosos della <b> aguer que todos los padres de una </b> auer cuydado de sus fijos	wpDOEEy
2.2.2	uk9c6SK	eo quod principantis sit alios regere et gubernare : <b> tanto ergo magis decet Reges et Principes solicitari </b> circa proprios filios ,	por que alos prinçipes parte nesçe de gouernar e de garalo sots . <b> pues que assi es tanto mas conuiene alos Reyes </b> e alos prinçipes de ser acuçiosos de sus fijos	bpPhP8b
2.2.6	tzR2Zey	Nam cum aliquis est pronus ad aliquid , <b> oportet ipsum multum assuescere in contrarium , </b> ne inclinetur ad illud :	Ca quando alguno es inclinado a alguacosa . <b> Conuiene que el vse mucho en el contrario </b> por que non sea inclinado a aquella cosa .	y68YZkM
2.2.6	l3pvEGb	a lasciuiis retrahantur . <b> Decet ergo omnes ciues solicitari erga filios , </b> ut ab ipsa infantia instruentur ad bonos mores .	e por bueons castigos sean tirados delas loçanias . <b> Et pues que assi es | conuieneque todos los çibdadanos ayan grand cuydado de sus fijos </b> assi que luego en su moçedat	deFb7x3, x3931ZO
2.2.7	fBcyliK	in regno maius periculum imminere . <b> Licet deceret omnes homines cognoscere literas ; </b> ut per eas prudentiores effecti ,	Et quanto dela maliçia dellos vernie mayor periglo a todo el regno <b> omo quier que conuenga a todos los omes de saber letras </b> por que por ellas puedan ser mas sabios	kLDYfAz
2.2.7	cFnTaeU	quae est ex scientia acquirenda . <b> Decet enim volentes literas discere , </b> literales sermones scire distincte proferre .	que omne aprende ¶ <b> Lo primero paresce assi . | Ca conuiene que los que quieren aprinder sçiençia de letris </b> que aprendan pronunçiar departidamente las palabras delas letras ¶	jllTnUc, ycclQac
2.2.7	xi9fpDM	insudare literalibus disciplinis , <b> quanto decet eos intelligentiores et prudentiores esse , </b> ut possint naturaliter dominari .	e en las sçiençias liberales <b> quanto mas les conuiene de ser mas entendudos | e mas sabios que los otros </b> por que puedan	wizULj1, vqoHnsC
2.2.8	jTLuUY3	et per debitas rationes manifestemus propositum . <b> Oportuit ergo inuenire aliquam scientiam docentem modum , </b> quo formanda sunt argumenta , et rationes .	i anifestamos nr̃a uoluntad e nr̃a entençion . <b> Et por ende conuiene de fallar algua sçiençia | que nos mostrasse </b> en qual manera son de enformar los argumentos e las razones .	c6mZHgD, zzpl5ZH
2.2.8	nQq31gC	inquantum deseruiunt morali negocio . <b> Decet igitur eos scire grammaticam , </b> ut intelligant idioma literale :	en quanto siruen ala ph̃ia moral . <b> Et pues que assi es conuiene les a ellos de saber la guamatica </b> por que entiendan el lenguage delas letras	tjsNHKW
2.2.9	cVfLjvF	quam doctor : <b> decet igitur ipsum esse inuentiuum . </b> Secundo decet ipsum esse intelligentem et perspicacem .	este tal mas es rezador que doctor ¶ <b> Et pues que assi es conuiene al maestro | que non tan solamente sea fallador delas cosas </b> mas que sea entendido e sotil . Ca assi commo ninguon non puede abastar	kj9RJmi, mxgOK3H
2.2.9	dYb5A9V	decet igitur ipsum esse inuentiuum . <b> Secundo decet ipsum esse intelligentem et perspicacem . </b> Nam sicut nullus bene et perfecte	que non tan solamente sea fallador delas cosas <b> mas que sea entendido e sotil . Ca assi commo ninguon non puede abastar </b> asi en la uida bien	pt74kV2
2.2.9	pWfIXVg	et intelligens aliorum dicta . <b> Tertio oportet ipsum esse iudicatiuum : </b> nam perfectio scientiae potissime	e que entienda los dichͣs de los otros . <b> ¶ Lo terçero conuiene que sea iudgador </b> e que aya razon para iudgar .	gqIuJru
2.2.9	gLUcjo5	quomodo obliquata essent . <b> Decet igitur aliorum directorem memorem esse praeteritorum . </b> Secundo decet	Et pues que assi es conuiene <b> que el que ha degniar los otros | que sea acordado delas cosas passadas </b> ¶	nzbwZ8B, w2bSQ0m
2.2.9	fGqSdK3	Quantum vero ad prudentiam agibilium , <b> decet ipsum esse memorem , </b> prouidum , cautum , et circumspectum .	que son de fazer <b> conuiene le que el doctor sea menbrado e prouado e sabio e acatado . </b> Mas quanto ala uida deue ser honesto e bueno .	hfPwQ8L
2.2.17	o4nYEZF	Sufficiat autem ad praesens scire , <b> quod decet patres sic solicitari erga regimen filiorum , </b> ut habeant sic bene dispositum corpus ,	mas quanto alo presente abonda de saber <b> que conuiene alos padres ser assi | acuçiossos çerca el gouernamiento delos fijos </b> por que ayan el cuerpo bien ordenado	tdU8LLp, u4uONO1
2.2.17	gGtCQus	tres breues rationes , <b> quare decet filios esse subiectos , </b> et obedire senioribus , et patribus .	razono breues <b> por que conuiene alos fijos de ser lubiectos </b> e obedientes a lus padres e alos vieios .	gMMhNHi
2.2.20	lzLEeAM	circa qualia opera solicitari debent : <b> oportet in talibus differenter loqui </b> secundum diuersitatem personarum .	Mas si alguno demandare <b> de que se deuen trabaiar las mugers conuiene de fablar en tales cosas departidamente </b> segunt el departimiento delas perssonas	hCmUJJo
2.2.20	d7jJBxM	infra declarandum esse , <b> circa quae opera deceat foeminas esse intentas . </b> Ostenso ,	casamien toca y dixiemos que adelante serie de declarar cerca quales obras conuenia <b> que las mugers fuesen acuçiosas . </b> ostrado que non conuiene alas moças de andar uagarosas a quande e allende	vUHIDOw
2.2.21	b0UimF5	Ostenso , <b> quod non decet puellas esse vagabundas , </b> nec decet eas viuere otiose :	que las mugers fuesen acuçiosas . <b> ostrado que non conuiene alas moças de andar uagarosas a quande e allende </b> nin les conuiene de beuir ociosas	oHNT480
2.2.21	d2UBRj0	restat ut nunc tertio ostendamus , <b> quod decet eas taciturnas esse , </b> quod triplici via venari possumus .	finca que agora lo terçero mostremos <b> que deuen ser callantias | e non parleras </b> la qual cosa podemos mostrar	bCRl3t1, fU3lPkO
2.2.21	vhyjSv6	cautos proferre sermones , <b> decet eas non esse loquaces : </b> sed oportet ipsas esse debite taciturnitas ,	tomadesto <b> que las mugrͣ̃s non sean prestas avaraias e apeleas </b> ca commo las muger se mayormente las mocas	aJwDWZR
2.3.2	cj3iyCm	et mensuram ex illis : <b> oportet organa domus ordinata esse , </b> et organa inferiora ,	Et resçiben dellas manera de seruiçio e mesura . <b> Conuiene avn que los estrumentos dela casa sean ordenados </b> e que los instrumentos mas baxos	wo2RyQy
2.3.3	vIlorje	nam secundum Philosophum 4 Ethicorum capitulo de Magnificentia , <b> maxime gloriosos et nobiles decet esse magnificos : </b> Reges ergo et Principes ,	en el quarto libro delas ethicas <b> enł capitulo dela magnifiçençia | que much mas conuiene alos Reyes </b> e alos prinçipes	tuLnPnA, jf0C3XD
2.3.3	uMCDCS5	In domibus ergo Regum et Principum <b> oportet multos abundare ministros , </b> ut ergo non solum personas Regis et Principis ,	e de los prinçipes conuiene <b> que ayan muchos ofiçiales | e much ssiruient s̃ Et pues que assi es </b> por que non solamente la persona del Rey o del prinçipe mas avn	jPhDRc5, k572gct
